aforo;hora
123;2023-04-20 21:03:00
121;2023-04-20 21:04:00
123;2023-04-20 21:05:00
125;2023-04-20 21:06:00
124;2023-04-20 21:07:00
125;2023-04-20 21:09:00
123;2023-04-20 21:10:00
120;2023-04-20 21:12:00
121;2023-04-20 21:14:00
122;2023-04-20 21:15:00
124;2023-04-20 21:17:00
120;2023-04-20 21:17:00
122;2023-04-20 21:19:00
124;2023-04-20 21:20:00
125;2023-04-20 21:21:00
127;2023-04-20 21:24:00
124;2023-04-20 21:27:00
122;2023-04-20 21:28:00
123;2023-04-20 21:30:00
119;2023-04-20 21:31:00
118;2023-04-20 21:32:00
117;2023-04-20 21:33:00
118;2023-04-20 21:36:00
119;2023-04-20 21:37:00
118;2023-04-20 21:38:00
120;2023-04-20 21:40:00
118;2023-04-20 21:41:00
116;2023-04-20 21:43:00
118;2023-04-20 21:44:00
116;2023-04-20 21:47:00
114;2023-04-20 21:50:00
113;2023-04-20 21:51:00
111;2023-04-20 21:52:00
109;2023-04-20 21:55:00
107;2023-04-20 21:56:00
108;2023-04-20 21:58:00
105;2023-04-20 21:58:00
102;2023-04-20 21:59:00
100;2023-04-20 22:01:00
97;2023-04-20 22:02:00
95;2023-04-20 22:06:00
94;2023-04-20 22:07:00
93;2023-04-20 22:09:00
94;2023-04-20 22:10:00
90;2023-04-20 22:11:00
87;2023-04-20 22:13:00
86;2023-04-20 22:15:00
85;2023-04-20 22:21:00
81;2023-04-20 22:23:00
80;2023-04-20 22:25:00
79;2023-04-20 22:26:00
78;2023-04-20 22:27:00
76;2023-04-20 22:29:00
75;2023-04-20 22:31:00
74;2023-04-20 22:32:00
73;2023-04-20 22:33:00
71;2023-04-20 22:37:00
70;2023-04-20 22:39:00
69;2023-04-20 22:40:00
68;2023-04-20 22:44:00
67;2023-04-20 22:45:00
65;2023-04-20 22:46:00
63;2023-04-20 22:47:00
62;2023-04-20 22:48:00
61;2023-04-20 22:49:00
60;2023-04-20 22:50:00
53;2023-04-20 22:51:00
51;2023-04-20 22:53:00
48;2023-04-20 22:54:00
45;2023-04-20 22:55:00
44;2023-04-20 22:56:00
42;2023-04-20 22:59:00
37;2023-04-20 22:59:00
34;2023-04-20 23:01:00
33;2023-04-20 23:02:00
30;2023-04-20 23:03:00
29;2023-04-20 23:05:00
28;2023-04-20 23:08:00
