aforo;hora
90;2023-04-21 20:46:00
78;2023-04-21 20:55:00
80;2023-04-21 21:07:00
79;2023-04-21 21:10:00
78;2023-04-21 21:11:00
79;2023-04-21 21:12:00
82;2023-04-21 21:13:00
80;2023-04-21 21:15:00
81;2023-04-21 21:17:00
79;2023-04-21 21:20:00
81;2023-04-21 21:21:00
78;2023-04-21 21:24:00
79;2023-04-21 21:25:00
78;2023-04-21 21:26:00
77;2023-04-21 21:28:00
79;2023-04-21 21:31:00
77;2023-04-21 21:32:00
76;2023-04-21 21:33:00
77;2023-04-21 21:35:00
76;2023-04-21 21:37:00
77;2023-04-21 21:38:00
76;2023-04-21 21:41:00
77;2023-04-21 21:45:00
78;2023-04-21 21:46:00
79;2023-04-21 21:47:00
78;2023-04-21 21:48:00
80;2023-04-21 21:50:00
79;2023-04-21 21:54:00
80;2023-04-21 21:55:00
81;2023-04-21 21:56:00
80;2023-04-21 21:58:00
81;2023-04-21 21:59:00
80;2023-04-21 22:03:00
79;2023-04-21 22:04:00
80;2023-04-21 22:09:00
79;2023-04-21 22:12:00
77;2023-04-21 22:16:00
76;2023-04-21 22:17:00
71;2023-04-21 22:18:00
70;2023-04-21 22:21:00
67;2023-04-21 22:30:00
66;2023-04-21 22:31:00
63;2023-04-21 22:35:00
60;2023-04-21 22:36:00
59;2023-04-21 22:40:00
60;2023-04-21 22:41:00
58;2023-04-21 22:43:00
57;2023-04-21 22:45:00
53;2023-04-21 22:48:00
52;2023-04-21 22:52:00
51;2023-04-21 22:54:00
49;2023-04-21 22:56:00
47;2023-04-21 22:57:00
42;2023-04-21 22:58:00
39;2023-04-21 22:59:00
35;2023-04-21 23:01:00
31;2023-04-21 23:02:00
30;2023-04-21 23:03:00
29;2023-04-21 23:04:00
24;2023-04-21 23:05:00
23;2023-04-21 23:06:00
